timestamp,open,high,low,close,volume
1725849000000,1.10815,1.10822,1.1079,1.10815,343
1725849300000,1.10815,1.1084,1.108,1.10829,306
1725849600000,1.10831,1.10831,1.108,1.10814,341
1725849900000,1.10813,1.1083,1.1079,1.10816,237
1725850200000,1.10814,1.1083,1.108,1.1082,271
1725850500000,1.10824,1.1083,1.1079,1.10805,309
1725850800000,1.10806,1.1082,1.1079,1.10805,290
1725851100000,1.10805,1.1081,1.1077,1.10805,371
1725851400000,1.10804,1.10805,1.1077,1.10793,325
1725851700000,1.10794,1.1081,1.1078,1.10794,326
1725852000000,1.10795,1.1081,1.1078,1.108,236
1725852300000,1.10799,1.10815,1.1078,1.10812,296
1725852600000,1.10811,1.1082,1.1079,1.1081,345
1725852900000,1.10806,1.1081,1.1078,1.10797,278
1725853200000,1.108,1.1081,1.1078,1.1079,269
1725853500000,1.10796,1.1081,1.1078,1.10797,197
1725853800000,1.10799,1.1082,1.1079,1.10806,342
1725854100000,1.10805,1.1081,1.1077,1.10797,346
1725854400000,1.10795,1.10801,1.1077,1.10801,320
1725854700000,1.10798,1.1081,1.1077,1.10789,306
1725855000000,1.10789,1.108,1.1077,1.10788,363
1725855300000,1.1079,1.10794,1.1077,1.10794,324
1725855600000,1.10793,1.10801,1.1078,1.10793,358
1725855900000,1.10792,1.108,1.1077,1.10791,259
1725856200000,1.10791,1.108,1.1077,1.10782,282
1725856500000,1.10785,1.10791,1.1075,1.10764,315
1725856800000,1.10765,1.10765,1.1074,1.10757,227
1725857100000,1.10762,1.1078,1.1074,1.10763,290
1725857400000,1.10764,1.1077,1.1073,1.10749,452
1725857700000,1.10749,1.1077,1.1074,1.10753,351
1725858000000,1.1074,1.1076,1.1073,1.10749,404
1725858300000,1.1074,1.10752,1.1073,1.10743,276
1725858600000,1.10743,1.1075,1.1072,1.10742,375
1725858900000,1.10741,1.1075,1.1073,1.10749,379
1725859200000,1.1075,1.1076,1.1072,1.10746,298
1725859500000,1.10749,1.1075,1.1072,1.10727,291
1725859800000,1.10729,1.1074,1.107,1.10717,311
1725860100000,1.10717,1.1073,1.107,1.10719,307
1725860400000,1.10719,1.1073,1.1069,1.10709,405
1725860700000,1.1071,1.1072,1.1069,1.10708,440
1725861000000,1.1071,1.1072,1.1069,1.1071,325
1725861300000,1.10709,1.1072,1.1067,1.10688,445
1725861600000,1.10689,1.10701,1.1067,1.107,699
1725861900000,1.10701,1.1072,1.1068,1.10697,640
1725862200000,1.10699,1.1071,1.1068,1.10704,585
1725862500000,1.10702,1.1071,1.1068,1.10705,550
1725862800000,1.10706,1.1072,1.1067,1.10673,466
